SIL-ENCE 1.0	sil
imikhukho 1.0	i m i k_h u k_h O
imikhulungwane 1.0	i m i k_h u l u N g w a n E
imikhumbi 1.0	i m i k_h u m b i
imiklomelo 1.0	i m i kK_> O m E l O
imilayelo 1.0	i m i l a j E l O
imilenze 1.0	i m i l E n dz E
imililo 1.0	i m i l i l O
imilomo 1.0	i m i l O m O
imimoya 1.0	i m i m O j a
imincele 1.0	i m i n |\ E l E
imindeni 1.0	i m i n d E n i
iminenke 1.0	i m i n E N k E
imini 1.0	i m i n i
iminikelo 1.0	i m i n i k E l O
imininingo 1.0	i m i n i n i N g O
imininingwane 1.0	i m i n i n i N g w a n E
imininingwaneyananoma 1.0	i m i n i n i N g w a n E j a n a n O m a
imintek 1.0	i m i n t_> E k
iminwe 1.0	i m i n w E
iminyaka 1.0	i m i J a k a
iminyakanyaka 1.0	i m i J a k a J a k a
iminyango 1.0	i m i J a N g O
iminyezane 1.0	i m i J E z a n E
imiphakathi 1.0	i m i p_h a k a t_h i
imiphilandawonye 1.0	i m i p_h i l a n d a w O J E
imiphumela 1.0	i m i p_h u m E l a
imiqhudelwano 1.0	i m i !\h u d E l w a n O
imiqondo 1.0	i m i !\ O n d O
imiqulu 1.0	i m i !\ u l u
imisa 1.0	i m i s a
imisakazo 1.0	i m i s a k a z O
imisebenzi 1.0	i m i s E b_< E n dz i
imisele 1.0	i m i s E l E
imiselwe 1.0	i m i s E l w E
imishado 1.0	i m i S a d O
imishanguzo 1.0	i m i S a N g u z O
imishini 1.0	i m i S i n i
imishiza 1.0	i m i S i z a
imisho 1.0	i m i S O
imishwana 1.0	i m i S w a n a
imisindo 1.0	i m i s i n d O
imiswane 1.0	i m i s w a n E
imitha 1.0	i m i t_h a
imithandazo 1.0	i m i t_h a n d a z O
imithelela 1.0	i m i t_h E l E l a
imitheshwana 1.0	i m i t_h E S w a n a
imithethonkambiso 1.0	i m i t_h E t_h O N k a m b i s O
imithethosivivinywa 1.0	i m i t_h E t_h O s i v i v i J w a
imitholampilo 1.0	i m i t_h O l a m p_> i l O
imithombo 1.0	i m i t_h O m b O
imithwalo 1.0	i m i t_h w a l O
imivimbo 1.0	i m i v i m b O
imivingqi 1.0	i m i v i N !\g_0 i
imivuzo 1.0	i m i v u z O
imiyalelo 1.0	i m i j a l E l O
imiyalezo 1.0	i m i j a l E z O
imiyalo 1.0	i m i j a l O
imizamo 1.0	i m i z a m O
imizekeliso 1.0	i m i z E k E l i s O
imizi 1.0	i m i z i
imizila 1.0	i m i z i l a
imizuzu 1.0	i m i z u z u
imizuzwana 1.0	i m i z u z w a n a
imizwa 1.0	i m i z w a
immigration 1.0	i m i g r E s E n
immigration 1.0	i m m i g r a t_> i O n
imnyango 1.0	i m J a N g O
imoduli 1.0	i m O d u l i
imondlo 1.0	i m O n K\ O
imoto 1.0	i m O t_> O
impahla 1.0	i m p_> a K a
impama 1.0	i m p_> a m a
impambosi 1.0	i m p_> a m b O s i
impatho 1.0	i m p_> a t_h O
impela 1.0	i m p_> E l a
impempe 1.0	i m p_> E m p_> E
impendulo 1.0	i m p_> E n d u l O
imperial 1.0	i m p_> E r i a l
imperial 1.0	i m p_h E r E l
impi 1.0	i m p_> i
impikiswano 1.0	i m p_> i k i s w a n O
impilo 1.0	i m p_> i l O
impokophelelo 1.0	i m p_> O k O p_h E l E l O
impokophelo 1.0	i m p_> O k O p_h E l O
impongoloza 1.0	i m p_> O N g O l O z a
impoqo 1.0	i m p_> O !\ O
import 1.0	i m p_h O t_h
import 1.0	i m p_> O r t_h
impukane 1.0	i m p_> u k a n E
impulelelo 1.0	i m p_> u l E l E l O
impumelela 1.0	i m p_> u m E l E l a
impumelelo 1.0	i m p_> u m E l E l O
imsebenzi 1.0	i m s E b_< E n dz i
imthetho 1.0	i m t_h E t_h O
imukeleke 1.0	i m u k E l E k E
imumisa 1.0	i m u m i s a
imvama 1.0	i m v a m a
imvelaphi 1.0	i m v E l a p_h i
imvelo 1.0	i m v E l O
imvu 1.0	i m v u
imvubu 1.0	i m v u b_< u
imvula 1.0	i m v u l a
imvume 1.0	i m v u m E
imvunge 1.0	i m v u N g E
imvuthuluka 1.0	i m v u t_h u l u k a
inamakamelo 1.0	i n a m a k a m E l O
inamandla 1.0	i n a m a n K\ a
inamba 1.0	i n a m b a
inani 1.0	i n a n i
inatalia 1.0	i n a t_> a l i a
incaze 1.0	i n |\ a z E
incazelo 1.0	i n |\ a z E l O
incazelojikelele 1.0	i n |\ a z E l O d_0Z i k E l E l E
incithakalo 1.0	i n |\ i t_h a k a l O
including 1.0	i n k l u d i N
including 1.0	i n |\ l u d i N g
incwadi 1.0	i n |\ w a d i
incwajana 1.0	i n |\ w a d_0Z a n a
incwanjana 1.0	i n |\ w a J d_0Z a n a
indaba 1.0	i n d a b_< a
indabuko 1.0	i n d a b_< u k O
indatshana 1.0	i n d a tS_> a n a
indawo 1.0	i n d a w O
indawop 1.0	i n d a w O p_>
inde 1.0	i n d E
index 1.0	i n d E |\|\
index 1.0	i n d E k s
india 1.0	i n d E
india 1.0	i n d i a
indian 1.0	i n d E n
indian 1.0	i n d i a n
indies 1.0	i n d i E s
indies 1.0	i n d i z
indikimba 1.0	i n d i k i m b a
indima 1.0	i n d i m a
indimaekulinganisweni 1.0	i n d i m a E k u l i N g a n i s w E n i
indiva 1.0	i n d i v a
indiza 1.0	i n d i z a
indlala 1.0	i n K\ a l a
indlalifa 1.0	i n K\ a l i f a
indle 1.0	i n K\ E
indlebe 1.0	i n K\ E b_< E
indleko 1.0	i n K\ E k O
indlela 1.0	i n K\ E l a
indlelayokufunda 1.0	i n K\ E l a j O k u f u n d a
indlovu 1.0	i n K\ O v u
indlu 1.0	i n K\ u
indodakazi 1.0	i n d O d a k a z i
indodanayakhe 1.0	i n d O d a n a j a k_h E
indololwane 1.0	i n d O l O l w a n E
induku 1.0	i n d u k u
induna 1.0	i n d u n a
inekamela 1.0	i n E k a m E l a
inelukuluku 1.0	i n E l u k u l u k u
inelungelo 1.0	i n E l u N g E l O
inemboni 1.0	i n E m b O n i
ineminyaka 1.0	i n E m i J a k a
inemiphumela 1.0	i n E m i p_h u m E l a
inemisebenzi 1.0	i n E m i s E b_< E n dz i
inenani 1.0	i n E n a n i
inenhloso 1.0	i n E n K O s O
inenqubomgomo 1.0	i n E n !\ u b_< O m g O m O
inesakhiwo 1.0	i n E s a k_h i w O
inesibophezelo 1.0	i n E s i b_< O p_h E z E l O
inesikhwama 1.0	i n E s i k_h w a m a
inesimemezelo 1.0	i n E s i m E m E z E l O
inethwe 1.0	i n E t_h w E
inezidakamizwa 1.0	i n E z i d a k a m i z w a
infectious 1.0	i n f E k s E s
infectious 1.0	i n f E |\ t_> i O u s
information 1.0	i n f E m E s E n
information 1.0	i n f O r m a t_> i O n
inga 1.0	i N g a
inga 1.0	i N g E
ingabalulekile 1.0	i N g a b_< a l u l E k i l E
ingabandlululi 1.0	i N g a b_< a n K\ u l u l i
ingabuye 1.0	i N g a b_< u j E
ingacacile 1.0	i N g a |\ a |\ i l E
ingadidi 1.0	i N g a d i d i
ingafanele 1.0	i N g a f a n E l E
ingagcini 1.0	i N g a |\g_0 i n i
ingahlala 1.0	i N g a K a l a
ingaholela 1.0	i N g a h O l E l a
ingakabanjwa 1.0	i N g a k a b_< a J d_0Z w a
ingakakhokhwa 1.0	i N g a k a k_h O k_h w a
ingakasuswa 1.0	i N g a k a s u s w a
ingakhipha 1.0	i N g a k_h i p_h a
ingakhishwa 1.0	i N g a k_h i S w a
ingakho 1.0	i N g a k_h O
ingakuthi 1.0	i N g a k u t_h i
ingakwazi 1.0	i N g a k w a z i
ingamaphawondi 1.0	i N g a m a p_h a w O n d i
ingamelwanga 1.0	i N g a m E l w a N g a
ingamiswa 1.0	i N g a m i s w a
ingamnike 1.0	i N g a m n i k E
ingana 1.0	i N g a n a
ingane 1.0	i N g a n E
ingangena 1.0	i N g a N g E n a
ingani 1.0	i N g a n i
inganikezelwa 1.0	i N g a n i k E z E l w a
inganikezswa 1.0	i N g a n i k E z s w a
inganono 1.0	i N g a n O n O
ingaphandle 1.0	i N g a p_h a n K\ E
ingaphelelanga 1.0	i N g a p_h E l E l a N g a
ingaqeqeshwa 1.0	i N g a !\ E !\ E S w a
ingasabonwa 1.0	i N g a s a b_< O n w a
ingase 1.0	i N g a s E
ingasese 1.0	i N g a s E s E
ingasetshenziswa 1.0	i N g a s E tS_> E n dz i s w a
ingashada 1.0	i N g a S a d a
ingasiwa 1.0	i N g a s i w a
ingasondelwa 1.0	i N g a s O n d E l w a
ingathatha 1.0	i N g a t_h a t_h a
ingatholakali 1.0	i N g a t_h O l a k a l i
ingavimbela 1.0	i N g a v i m b E l a
ingavumelani 1.0	i N g a v u m E l a n i
ingaxoxisana 1.0	i N g a |\|\ O |\|\ i s a n a
ingaze 1.0	i N g a z E
ingcindezi 1.0	i N |\g_0 i n d E z i
ingciwane 1.0	i N |\g_0 i w a n E
ingcoliswe 1.0	i N |\g_0 O l i s w E
ingcuphe 1.0	i N |\g_0 u p_h E
ingedalulwe 1.0	i N g E d a l u l w E
ingefanele 1.0	i N g E f a n E l E
ingefani 1.0	i N g E f a n i
ingeke 1.0	i N g E k E
ingekho 1.0	i N g E k_h O
ingelosi 1.0	i N g E l O s i
ingena 1.0	i N g E n a
ingenamali 1.0	i N g E n a m a l i
ingenaye 1.0	i N g E n a j E
ingene 1.0	i N g E n E
ingenele 1.0	i N g E n E l E
ingeniso 1.0	i N g E n i s O
ingeniswe 1.0	i N g E n i s w E
ingenziwa 1.0	i N g E n dz i w a
ingeyakwabani 1.0	i N g E j a k w a b_< a n i
ingezansi 1.0	i N g E z a n ts_> i
inginesa 1.0	i N g i n E s a
ingoba 1.0	i N g O b_< a
ingodla 1.0	i N g O K\ a
ingoma 1.0	i N g O m a
ingono 1.0	i N g O n O
ingosi 1.0	i N g O s i
ingozi 1.0	i N g O z i
ingqinamba 1.0	i N !\g_0 i n a m b a
ingqondo 1.0	i N !\g_0 O n d O
ingqoshi 1.0	i N !\g_0 O S i
ingqwaba 1.0	i N !\g_0 w a b_< a
ingu 1.0	i N g u
ingubufakazi 1.0	i N g u b_< u f a k a z i
ingukhayeni 1.0	i N g u k_h a j E n i
ingumhlahlandlela 1.0	i N g u m K a K a n K\ E l a
ingumkhandlu 1.0	i N g u m k_h a n K\ u
ingumthetho 1.0	i N g u m t_h E t_h O
inguquko 1.0	i N g u !\ u k O
ingwe 1.0	i N g w E
ingxoxo 1.0	i N |\|\g_0 O |\|\ O
ingxube 1.0	i N |\|\g_0 u b_< E
inhlabathi 1.0	i n K a b_< a t_h i
inhlali 1.0	i n K a l i
inhlama 1.0	i n K a m a
inhlamvu 1.0	i n K a m v u
inhlanganisela 1.0	i n K a N g a n i s E l a
inhlangano 1.0	i n K a N g a n O
inhlansi 1.0	i n K a n ts_> i
inhlanzeko 1.0	i n K a n dz E k O
inhlanzi 1.0	i n K a n dz i
inhlawulo 1.0	i n K a w u l O
inhlazi 1.0	i n K a z i
inhlekisa 1.0	i n K E k i s a
inhliziyo 1.0	i n K i z i j O
inhlobo 1.0	i n K O b_< O
inhloko 1.0	i n K O k O
inhlonipho 1.0	i n K O n i p_h O
inhloso 1.0	i n K O s O
inhlupheko 1.0	i n K u p_h E k O
ini 1.0	i n i
inikeza 1.0	i n i k E z a
inikeze 1.0	i n i k E z E
inikezelana 1.0	i n i k E z E l a n a
inikezelwa 1.0	i n i k E z E l w a
inikezwa 1.0	i n i k E z w a
inikezwe 1.0	i n i k E z w E
inikhothini 1.0	i n i k_h O t_h i n i
inikine 1.0	i n i k i n E
inikwa 1.0	i n i k w a
inikwe 1.0	i n i k w E
iningi 1.0	i n i N g i
iningizimu 1.0	i n i N g i z i m u
inini 1.0	i n i n i
injabulo 1.0	i J d_0Z a b_< u l O
injengokufanayo 1.0	i J d_0Z E N g O k u f a n a j O
injini 1.0	i J d_0Z i n i
inkambiso 1.0	i N k a m b i s O
inkambo 1.0	i N k a m b O
inkambu 1.0	i N k a m b u
inkampani 1.0	i N k a m p_> a n i
inkani 1.0	i N k a n i
inkantolo 1.0	i N k a n t_> O l O
inkathi 1.0	i N k a t_h i
inkimbinkimbi 1.0	i N k i m b i N k i m b i
inkinga 1.0	i N k i N g a
inkinobho 1.0	i N k i n O b O
inkinsela 1.0	i N k i n ts_> E l a
inkithikithi 1.0	i N k i t_h i k i t_h i
inkohlakalo 1.0	i N k O K a k a l O
inkohliso 1.0	i N k O K i s O
inkokhelo 1.0	i N k O k_h E l O
inkolelo 1.0	i N k O l E l O
inkolo 1.0	i N k O l O
inkomo 1.0	i N k O m O
inkondlo 1.0	i N k O n K\ O
inkontileka 1.0	i N k O n t_> i l E k a
inkonzo 1.0	i N k O n dz O
inkosazana 1.0	i N k O s a z a n a
inkosi 1.0	i N k O s i
inkosikazi 1.0	i N k O s i k a z i
inkothe 1.0	i N k O t_h E
inkotho 1.0	i N k O t_h O
inkoyane 1.0	i N k O j a n E
inkukhu 1.0	i N k u k_h u
inkuku 1.0	i N k u k u
inkululeko 1.0	i N k u l u l E k O
inkulumo 1.0	i N k u l u m O
inkumbulo 1.0	i N k u m b u l O
inkundla 1.0	i N k u n K\ a
inkungu 1.0	i N k u N g u
inkunzi 1.0	i N k u n dz i
inmarsat 1.0	i n m a r s a t_h
inobufakazi 1.0	i n O b_< u f a k a z i
inohlelo 1.0	i n O K E l O
inombolo 1.0	i n O m b O l O
inomfi 1.0	i n O m f i
inomgomo 1.0	i n O m g O m O
inomqondo 1.0	i n O m !\ O n d O
inomsindo 1.0	i n O m s i n d O
inomthwalo 1.0	i n O m t_h w a l O
inoshukela 1.0	i n O S u k E l a
inothisi 1.0	i n O t_h i s i
inqaba 1.0	i n !\ a b_< a
inqalasizinda 1.0	i n !\ a l a s i z i n d a
inqawe 1.0	i n !\ a w E
inqobo 1.0	i n !\ O b_< O
inqondo 1.0	i n !\ O n d O
inqubekelaphambili 1.0	i n !\ u b_< E k E l a p_h a m b i l i
inqubo 1.0	i n !\ u b_< O
inqubomgomo 1.0	i n !\ u b_< O m g O m O
inqubomigomo 1.0	i n !\ u b_< O m i g O m O
inqunywe 1.0	i n !\ u J w E
inqwaba 1.0	i n !\ w a b_< a
insebenziswano 1.0	i n ts_> E b_< E n dz i s w a n O
inselele 1.0	i n ts_> E l E l E
inselelo 1.0	i n ts_> E l E l O
insika 1.0	i n ts_> i k a
insini 1.0	i n ts_> i n i
insiza 1.0	i n ts_> i z a
insizwa 1.0	i n ts_> i z w a
intaba 1.0	i n t_> a b_< a
intamo 1.0	i n t_> a m O
intela 1.0	i n t_> E l a
intelezi 1.0	i n t_> E l E z i
intellectual 1.0	i n t_> E l l E |\ t_> u a l
intellectual 1.0	i n t_h E l E k tS_> O l
intelligence 1.0	i n t_> E l l i g E n |\ E
intelligence 1.0	i n t_h E l i d_0Z E n s
intengo 1.0	i n t_> E N g O
interface 1.0	i n t_> E r f a |\ E
interface 1.0	i n t_h E f E s
interfaces 1.0	i n t_> E r f a |\ E s
interfaces 1.0	i n t_h E f E s E s
interim 1.0	i n t_> E r i m
interim 1.0	i n t_h E r E m
internal 1.0	i n t_> E r n a l
internal 1.0	i n t_h a n E l
international 1.0	i n t_> E r n a t_> i O n a l
international 1.0	i n t_h E n a s E n E l
internet 1.0	i n t_> E r n E t_h
internet 1.0	i n t_h E r n E t_h
inthanethi 1.0	i n t_> a n E t_h i
intinginono 1.0	i n t_> i N g i n O n O
into 1.0	i n t_h E
into 1.0	i n t_> O
intokazi 1.0	i n t_> O k a z i
intokozo 1.0	i n t_> O k O z O
intombi 1.0	i n t_> O m b i
intonga 1.0	i n t_> O N g a
intsha 1.0	i n tS_> a
intshisekelo 1.0	i n tS_> i s E k E l O
intshiseko 1.0	i n tS_> i s E k O
intuba 1.0	i n t_> u b_< a
intuthu 1.0	i n t_> u t_h u
intuthuko 1.0	i n t_> u t_h u k O
inuka 1.0	i n u k a
inventors 1.0	i n v E n t_h E z
inventors 1.0	i n v E n t_> O r s
inxapha 1.0	i n |\|\ a p_h a
inxeba 1.0	i n |\|\ E b_< a
inxenyekazi 1.0	i n |\|\ E J E k a z i
inxoso 1.0	i n |\|\ O s O
inyama 1.0	i J a m a
inyamazane 1.0	i J a m a z a n E
inyanga 1.0	i J a N g a
inyango 1.0	i J a N g O
inyathelo 1.0	i J a t_h E l O
inye 1.0	i J E
inyinyitheka 1.0	i J i J i t_h E k a
inyoka 1.0	i J O k a
inyoni 1.0	i J O n i
inyosi 1.0	i J O s i
inyunyana 1.0	i J u J a n a
inzalo 1.0	i n dz a l O
inzuzo 1.0	i n dz u z O
inzwa 1.0	i n dz w a
ip 1.0	a p_h i
ip 1.0	i p_>
ipaki 1.0	i p_> a k i
ipasi 1.0	i p_> a s i
ipasipoti 1.0	i p_> a s i p_> O t_> i
ipaspoti 1.0	i p_> a s p_> O t_> i
ipayipi 1.0	i p_> a j i p_> i
ipeni 1.0	i p_> E n i
iphakamisa 1.0	i p_h a k a m i s a
iphakethe 1.0	i p_h a k E t_h E
iphalamende 1.0	i p_h a l a m E n d E
iphaneli 1.0	i p_h a n E l i
iphasela 1.0	i p_h a s E l a
iphathelene 1.0	i p_h a t_h E l E n E
iphathi 1.0	i p_h a t_h i
iphathwa 1.0	i p_h a t_h w a
iphayiphi 1.0	i p_h a j i p_h i
iphazamisana 1.0	i p_h a z a m i s a n a
iphekhi 1.0	i p_h E k_h i
iphela 1.0	i p_h E l a
iphelela 1.0	i p_h E l E l a
iphelele 1.0	i p_h E l E l E
iphelezelwa 1.0	i p_h E l E z E l w a
iphelezelwe 1.0	i p_h E l E z E l w E
iphemithi 1.0	i p_h E m i t_h i
iphendukele 1.0	i p_h E n d u k E l E
iphendulwe 1.0	i p_h E n d u l w E
iphepha 1.0	i p_h E p_h a
iphephandaba 1.0	i p_h E p_h a n d a b_< a
iphesenti 1.0	i p_h E s E n t_> i
ipheshana 1.0	i p_h E S a n a
iphethenti 1.0	i p_h E t_h E n t_> i
iphethishini 1.0	i p_h E t_h i S i n i
iphethroliyamu 1.0	i p_h E t_h r O l i j a m u
iphezu 1.0	i p_h E z u
iphimbo 1.0	i p_h i m b O
iphindelela 1.0	i p_h i n d E l E l a
iphini 1.0	i p_h i n i
iphokophele 1.0	i p_h O k O p_h E l E
ipholavuthondaba 1.0	i p_h O l a v u t_h O n d a b_< a
iphomede 1.0	i p_h O m E d E
iphomedi 1.0	i p_h O m E d i
iphosta 1.0	i p_h O s t_> a
iphuka 1.0	i p_h u k a
iphume 1.0	i p_h u m E
iphungulwe 1.0	i p_h u N g u l w E
iphupho 1.0	i p_h u p_h O
iphutha 1.0	i p_h u t_h a
iphuzu 1.0	i p_h u z u
iplathinamu 1.0	i p_> l a t_h i n a m u
iposelwa 1.0	i p_> O s E l w a
iprojekthi 1.0	i p_> r O d_0Z E k t_h i
ipu 1.0	i p_> u
ipulazi 1.0	i p_> u l a z i
ipuleti 1.0	i p_> u l E t_> i
iqala 1.0	i !\ a l a
iqale 1.0	i !\ a l E
iqaqa 1.0	i !\ a !\ a
iqatha 1.0	i !\ a t_h a
iqembu 1.0	i !\ E m b u
iqhathaniswe 1.0	i !\h a t_h a n i s w E
iqhathanzipho 1.0	i !\h a t_h a n dz i p_h O
iqhazaukuze 1.0	i !\h a z a u k u z E
iqhinga 1.0	i !\h i N g a
iqhubeka 1.0	i !\h u b_< E k a
iqhutshana 1.0	i !\h u tS_> a n a
iqhutshwe 1.0	i !\h u tS_> w E
iqhwa 1.0	i !\h w a
iqine 1.0	i !\ i n E
iqiniso 1.0	i !\ i n i s O
iqokli 1.0	i !\ O kK_> i
iqophelo 1.0	i !\ O p_h E l O
iqoqa 1.0	i !\ O !\ a
iqoqo 1.0	i !\ O !\ O
iqukathe 1.0	i !\ u k a t_h E
iqukethe 1.0	i !\ u k E t_h E
iqulu 1.0	i !\ u l u
irabha 1.0	i r a b a
iran 1.0	i r a n
iraq 1.0	i r a !\
iraq 1.0	i r a k
irasidi 1.0	i r a s i d i
irawundwe 1.0	i r a w u n d w E
irayisi 1.0	i r a j i s i
irejista 1.0	i r E d_0Z i s t_> a
irekhodi 1.0	i r E k_h O d i
irekhodwe 1.0	i r E k_h O d w E
iriphablikhi 1.0	i r i p_h a b_< l i k_h i
iripoti 1.0	i r i p_> O t_> i
irish 1.0	a r i s
irish 1.0	i r i S
irisidi 1.0	i r i s i d i
irizevu 1.0	i r i z E v u
is 1.0	i s
is 1.0	i z
isabelo 1.0	i s a b_< E l O
isagila 1.0	i s a g i l a
isahluko 1.0	i s a K u k O
isakare 1.0	i s a k a r E
isakhamizi 1.0	i s a k_h a m i z i
isakhamuzi 1.0	i s a k_h a m u z i
isakhiwo 1.0	i s a k_h i w O
isalukazi 1.0	i s a l u k a z i
isaluleko 1.0	i s a l u l E k O
isaluthephu 1.0	i s a l u t_h E p_h u
isamanisi 1.0	i s a m a n i s i
isamba 1.0	i s a m b a
isampula 1.0	i s a m p_> u l a
isampuli 1.0	i s a m p_> u l i
isamsa 1.0	i s a m s a
isan 1.0	i s a n
isandla 1.0	i s a n K\ a
isandulela 1.0	i s a n d u l E l a
isandulelo 1.0	i s a n d u l E l O
isango 1.0	i s a N g O
isanusi 1.0	i s a n u s i
isaphulelo 1.0	i s a p_h u l E l O
isars 1.0	i s a r s
isasasa 1.0	i s a s a s a
isashisa 1.0	i s a S i s a
isathathwa 1.0	i s a t_h a t_h w a
isayensi 1.0	i s a j E n ts_> i
isayenze 1.0	i s a j E n dz E
isazela 1.0	i s a z E l a
isazi 1.0	i s a z i
isaziso 1.0	i s a z i s O
isebenza 1.0	i s E b_< E n dz a
isebenze 1.0	i s E b_< E n dz E
isebenzise 1.0	i s E b_< E n dz i s E
isehlakalo 1.0	i s E K a k a l O
isehlukaniso 1.0	i s E K u k a n i s O
isekela 1.0	i s E k E l a
iseli 1.0	i s E l i
iselula 1.0	i s E l u l a
iseluleko 1.0	i s E l u l E k O
isemqoka 1.0	i s E m !\ O k a
isemshika 1.0	i s E m S i k a
isendleleni 1.0	i s E n K\ E l E n i
isengozini 1.0	i s E N g O z i n i
isenti 1.0	i s E n t_> i
isenzo 1.0	i s E n dz O
iseshoni 1.0	i s E S O n i
isesivumelwane 1.0	i s E s i v u m E l w a n E
isethameli 1.0	i s E t_h a m E l i
isethembiso 1.0	i s E t_h E m b i s O
isethi 1.0	i s E t_h i
isethulo 1.0	i s E t_h u l O
isetshenziswe 1.0	i s E tS_> E n dz i s w E
isevisi 1.0	i s E v i s i
isezintabeni 1.0	i s E z i n t_> a b_< E n i
isezo 1.0	i s E z O
isgaba 1.0	i s g a b_< a
isha 1.0	i S a
ishadi 1.0	i S a d i
ishayisane 1.0	i S a j i s a n E
ishayisaniswa 1.0	i S a j i s a n i s w a
ishaywe 1.0	i S a j w E
isheduli 1.0	i S E d u l i
isheke 1.0	i S E k E
ishezi 1.0	i S E z i
ishisa 1.0	i S i s a
ishiswa 1.0	i S i s w a
ishiya 1.0	i S i j a
ishoba 1.0	i S O b_< a
ishodi 1.0	i S O d i
ishoysi 1.0	i S O j s i
isib 1.0	i s i b_<
isibalo 1.0	i s i b_< a l O
isibambo 1.0	i s i b_< a m b O
isibaya 1.0	i s i b_< a j a
isibayana 1.0	i s i b_< a j a n a
isibhamu 1.0	i s i b a m u
isibhedlela 1.0	i s i b E K\ E l a
isibhongo 1.0	i s i b O N g O
isibhuzazana 1.0	i s i b u z a z a n a
isibikezelo 1.0	i s i b_< i k E z E l O
isibingelelo 1.0	i s i b_< i N g E l E l O
isibiza 1.0	i s i b_< i z a
isibonelelo 1.0	i s i b_< O n E l E l O
isibonelo 1.0	i s i b_< O n E l O
isibongo 1.0	i s i b_< O N g O
isibophezelelo 1.0	i s i b_< O p_h E z E l E l O
isibophezelo 1.0	i s i b_< O p_h E z E l O
isibopho 1.0	i s i b_< O p_h O
isiboshwa 1.0	i s i b_< O S w a
isicanucanu 1.0	i s i |\ a n u |\ a n u
isicathulo 1.0	i s i |\ a t_h u l O
isicathulwana 1.0	i s i |\ a t_h u l w a n a
isicelo 1.0	i s i |\ E l O
isichasiso 1.0	i s i |\h a s i s O
isichibiyelo 1.0	i s i |\h i b_< i j E l O
isicishamlilo 1.0	i s i |\ i S a m l i l O
isicubu 1.0	i s i |\ u b_< u
isidakamizwa 1.0	i s i d a k a m i z w a
isidingo 1.0	i s i d i N g O
isidlakela 1.0	i s i K\ a k E l a
isidleke 1.0	i s i K\ E k E
isidudu 1.0	i s i d u d u
isidumbu 1.0	i s i d u m b u
isifakazelo 1.0	i s i f a k a z E l O
isifiso 1.0	i s i f i s O
isifo 1.0	i s i f O
isifulentshi 1.0	i s i f u l E n tS_> i
isifuna 1.0	i s i f u n a
isifunda 1.0	i s i f u n d a
isifundazwe 1.0	i s i f u n d a z w E
isifundo 1.0	i s i f u n d O
isifungo 1.0	i s i f u N g O
isifutho 1.0	i s i f u t_h O
isigaba 1.0	i s i g a b_< a
isigameko 1.0	i s i g a m E k O
isigamu 1.0	i s i g a m u
isigatshana 1.0	i s i g a tS_> a n a
isigceme 1.0	i s i |\g_0 E m E
isigcwagcwa 1.0	i s i |\g_0 w a |\g_0 w a
isignesha 1.0	i s i g n E S a
isigodi 1.0	i s i g O d i
isigqi 1.0	i s i !\g_0 i
isigqiki 1.0	i s i !\g_0 i k i
isigqoko 1.0	i s i !\g_0 O k O
isigubhu 1.0	i s i g u b u
isiguli 1.0	i s i g u l i
isigulo 1.0	i s i g u l O
isigungu 1.0	i s i g u N g u
isigunyaziso 1.0	i s i g u J a z i s O
isigwebo 1.0	i s i g w E b_< O
isigwili 1.0	i s i g w i l i
isihambi 1.0	i s i h a m b i
isihawu 1.0	i s i h a w u
isihlabathi 1.0	i s i K a b_< a t_h i
isihlahla 1.0	i s i K a K a
isihlalo 1.0	i s i K a l O
isihlenga 1.0	i s i K E N g a
isihlobo 1.0	i s i K O b_< O
isihloko 1.0	i s i K O k O
isihlonti 1.0	i s i K O n t_> i
isihluku 1.0	i s i K u k u
isihudo 1.0	i s i h u d O
isijingi 1.0	i s i d_0Z i N g i
isijobelelo 1.0	i s i d_0Z O b_< E l E l O
isijumbana 1.0	i s i d_0Z u m b a n a
isikali 1.0	i s i k a l i
isikalo 1.0	i s i k a l O
isikathi 1.0	i s i k a t_h i
isikhala 1.0	i s i k_h a l a
isikhalazo 1.0	i s i k_h a l a z O
isikhali 1.0	i s i k_h a l i
isikhalo 1.0	i s i k_h a l O
isikhangisi 1.0	i s i k_h a N g i s i
isikhashana 1.0	i s i k_h a S a n a
isikhathi 1.0	i s i k_h a t_h i
isikhathiesingaphezulu 1.0	i s i k_h a t_h i E s i N g a p_h E z u l u
isikhawu 1.0	i s i k_h a w u
isikhindi 1.0	i s i k_h i n d i
isikhiye 1.0	i s i k_h i j E
isikhona 1.0	i s i k_h O n a
isikhonkwane 1.0	i s i k_h O N k w a n E
isikhonzi 1.0	i s i k_h O n dz i
isikhukhukazi 1.0	i s i k_h u k_h u k a z i
isikhukukazi 1.0	i s i k_h u k u k a z i
isikhulu 1.0	i s i k_h u l u
isikhulumi 1.0	i s i k_h u l u m i
isikhumba 1.0	i s i k_h u m b a
isikhumbuzo 1.0	i s i k_h u m b u z O
isikhumulo 1.0	i s i k_h u m u l O
isikhundla 1.0	i s i k_h u n K\ a
isikhundleni 1.0	i s i k_h u n K\ E n i
isikhungo 1.0	i s i k_h u N g O
isikhwama 1.0	i s i k_h w a m a
isikhwehlela 1.0	i s i k_h w E K E l a
isiko 1.0	i s i k O
isikole 1.0	i s i k O l E
isikweledu 1.0	i s i k w E l E d u
isikweletu 1.0	i s i k w E l E t_> u
isilima 1.0	i s i l i m a
